id;delivery_date;sender;courier;type;tracking;vat;notes;created_at
144;2026-02-04;TPV;FEEDEX;WYNAJEM;1100339088253012784002061369;;Zwrot dla hikrobot;2026-02-04T14:59:35
143;2026-02-04;Autopartner;DHL;SERWIS;JJD000030221113000000053180;;C66 na serwis;2026-02-04T14:22:27
142;2026-02-04;Autopartner;DHL;SERWIS;JJD000030221113000000053286;;C66 na serwis;2026-02-04T14:22:17
140;2026-02-02;Autopartner;DHL;SERWIS;JJD000030221113000000053073;;C66 na serwis- bład z systemem - gwarancja;2026-02-02T15:25:10
139;2026-02-02;Pulster;DHL;MAGAZYN;;;10 używanych workabout G4 + 10 akumulatorów;2026-02-02T14:27:35
136;2026-02-02;Technica Group;DPD;WYNAJEM;%00613690052964654155W101616;;4 sztuki Chainway C61 SE4850 na serwis, mają karetczki co mają uszkodzone.;2026-02-02T08:01:35
131;2026-01-29;Vemco;DHL;SERWIS;;;Workabout G4 na niedziałającą antenę.;2026-01-30T11:15:31
128;2026-01-23;Mauser Electronics;Feedex;MAGAZYN;;;Podzespół;2026-01-30T11:15:31
127;2026-01-23;Zebra;Feedex;MAGAZYN;;;Symbol MC92 - zebra bez akumulatora i bez stacji do przetargu;2026-01-30T11:15:31
126;2026-01-23;Chainway;DHL;MAGAZYN;;;10x otok MC21 | 10x Stacja MC21 | 10x MC21 Daw-Systems | 2x C72 Newland RFID | 3x Chainway R1;2026-01-30T11:15:31
135;2026-01-22;Autopartner;DPD;SERWIS;;;C66 na serwis skanera, który niedokładnie czyta;2026-01-30T13:04:33
137;2026-01-20;Jarltech;DPD;WYNAJEM;;;Zwrot przewodów dla TPV;2026-02-02T13:30:14
134;2026-01-20;Nadleśnictwo henryków;Poczta Polska;SERWIS;;;Bixolon R410 na serwis, w ujemnych temperaturach słabo drukuje BEGBBMKA21010126 Mytych Wrocław;2026-01-30T13:04:22
122;2026-01-20;TPV;DPD;MAGAZYN;;;Zwrot RK410 i RK370;2026-01-30T11:15:31
130;2026-01-19;Autopartner;DHL;SERWIS;;;C66 na serwis ekranu;2026-01-30T11:15:31
125;2026-01-19;Tagi;DPD;MAGAZYN;;;Tagi NFC karty Mifere;2026-01-30T11:15:31
121;2026-01-15;Fir Emi Jac Trz;DPD;MAGAZYN;00613691034514579313U101616;;Etykiety na parkomaty;2026-01-30T11:15:31
